A	0	8	18	96	222	201	203	173	175	145	147	116	118	88
B	57	6	155	189	208	178	172	142	136	105	99	69	61	3
B	129	157	211	182	176	146	140	109	103	73	67	16	1	9
A	10	122	220	197	199	169	171	141	143	112	114	84	86	54
B	53	51	4	59	187	209	204	174	168	138	132	101	93	63
A	216	192	195	165	167	137	139	108	110	80	82	47	52	56
A	60	2	13	17	26	90	219	205	207	177	179	149	151	120
B	87	55	46	44	43	65	215	206	200	170	164	134	125	95
A	92	62	66	15	21	25	34	64	194	188	210	181	183	153
B	119	89	83	48	38	36	35	91	223	202	196	166	159	127
A	124	94	98	68	70	23	29	33	42	58	162	156	212	185
A	190	160	163	133	135	104	106	76	78	39	45	49	7	130
B	152	121	115	85	79	40	30	28	27	97	221	198	191	161
A	158	126	131	100	102	72	74	31	37	41	50	5	128	214
B	184	154	148	117	111	81	75	32	22	20	19	123	217	193
B	213	186	180	150	144	113	107	77	71	24	14	12	11	218
